item_id,order_id,item_name,quantity,price
1,1,Veg Biryani,3,248
2,2,Fried Rice,2,140
3,3,Idli Sambar,3,282
4,3,Paneer Butter Masala,2,316
5,4,Paneer Butter Masala,2,265
6,4,Hakka Noodles,2,168
7,4,Masala Dosa,2,487
8,5,Hakka Noodles,2,121
9,5,Pizza,3,271
10,5,Veg Biryani,1,289
11,6,Butter Naan,2,178
12,6,Tandoori Chicken,2,127
13,7,Fried Rice,1,476
14,7,Burger,3,498
15,8,Tandoori Chicken,2,411
16,8,Hakka Noodles,1,294
17,9,Masala Dosa,2,387
18,9,Hakka Noodles,3,498
19,10,Idli Sambar,3,283
20,10,Hakka Noodles,1,158
21,11,Veg Biryani,2,403
22,11,Fried Rice,2,395
23,12,Pizza,1,358
24,12,Fried Rice,3,186
25,13,Tandoori Chicken,1,221
26,13,Hakka Noodles,2,410
27,14,Chicken Biryani,2,227
28,14,Hakka Noodles,3,259
29,15,Chicken Biryani,1,281
30,15,Tandoori Chicken,2,225
31,16,Idli Sambar,2,175
32,17,Butter Naan,1,203
33,17,Dal Makhani,3,279
34,18,Hakka Noodles,3,389
35,18,Veg Biryani,3,314
36,19,Tandoori Chicken,3,392
37,19,Masala Dosa,1,331
38,19,Paneer Butter Masala,3,344
39,20,Fried Rice,1,324
40,20,Dal Makhani,1,306
41,21,Pizza,3,462
42,22,Chicken Biryani,2,168
43,23,Burger,1,252
44,23,Pizza,1,382
45,23,Idli Sambar,1,477
46,24,Veg Biryani,3,182
47,24,Masala Dosa,3,120
48,24,Tandoori Chicken,2,313
49,25,Hakka Noodles,1,195
50,26,Pizza,3,191
51,26,Masala Dosa,1,286
52,26,Chicken Biryani,2,473
53,27,Masala Dosa,3,379
54,28,Tandoori Chicken,2,218
55,29,Masala Dosa,2,239
56,29,Masala Dosa,1,362
57,29,Pizza,3,433
58,30,Burger,1,399
59,30,Dal Makhani,2,442
60,31,Dal Makhani,1,389
61,31,Hakka Noodles,2,133
62,32,Hakka Noodles,3,398
63,32,Burger,1,192
64,33,Masala Dosa,2,201
65,33,Tandoori Chicken,1,292
66,34,Pizza,2,394
67,34,Tandoori Chicken,3,491
68,35,Paneer Butter Masala,2,438
69,35,Burger,2,486
70,36,Idli Sambar,3,284
71,36,Tandoori Chicken,1,360
72,36,Tandoori Chicken,2,449
73,37,Idli Sambar,1,237
74,38,Fried Rice,3,403
75,38,Burger,1,478
76,38,Tandoori Chicken,3,158
77,39,Idli Sambar,2,159
78,39,Dal Makhani,1,266
79,39,Fried Rice,1,450
80,40,Masala Dosa,1,222
81,41,Paneer Butter Masala,3,162
82,41,Veg Biryani,2,461
83,41,Butter Naan,3,245
84,42,Paneer Butter Masala,2,296
85,42,Butter Naan,3,185
86,42,Hakka Noodles,2,358
87,43,Paneer Butter Masala,1,451
88,44,Fried Rice,2,230
89,45,Chicken Biryani,2,284
90,46,Idli Sambar,1,304
91,47,Paneer Butter Masala,2,450
92,47,Idli Sambar,2,380
93,48,Paneer Butter Masala,2,476
94,48,Pizza,3,124
95,49,Chicken Biryani,2,160
96,49,Fried Rice,3,192
97,49,Hakka Noodles,2,363
98,50,Veg Biryani,3,205
99,50,Dal Makhani,2,303
100,50,Paneer Butter Masala,2,437
101,51,Chicken Biryani,1,235
102,52,Veg Biryani,1,414
103,52,Fried Rice,3,170
104,52,Dal Makhani,1,351
105,53,Veg Biryani,2,368
106,53,Pizza,1,476
