order_id,user_id,restaurant_id,order_date,amount,status
1,31766,405,2025-08-16,1957,Delivered
2,45037,1465,2025-12-29,1578,Delivered
3,10499,194,2025-10-29,331,Delivered
4,28326,1217,2025-08-27,893,Cancelled
5,43406,148,2025-09-09,1839,Cancelled
6,16167,714,2025-05-04,770,Delivered
7,4778,961,2025-05-01,981,Cancelled
8,40739,1207,2026-02-13,1200,Delivered
9,321,1337,2025-12-12,1297,Delivered
10,49448,438,2025-10-27,212,Delivered
11,43589,60,2025-06-03,642,Delivered
12,32510,1144,2025-06-12,479,Delivered
13,35019,1595,2025-09-10,1429,Delivered
14,44945,1316,2025-09-20,1878,Delivered
15,28191,22,2026-01-29,1455,Cancelled
16,9061,1372,2025-03-26,1493,Delivered
17,37498,1318,2025-10-31,1715,Delivered
18,6683,547,2025-10-22,1933,Cancelled
19,14010,1342,2025-07-27,1005,Delivered
20,871,24,2025-12-20,488,Delivered
21,22526,1492,2025-04-10,922,Delivered
22,14170,803,2026-02-08,1351,Delivered
23,29910,727,2026-02-09,1241,Delivered
24,49434,1382,2025-11-05,1625,Cancelled
25,39628,1039,2026-02-27,1790,Delivered
26,15220,1,2025-05-10,1757,Delivered
27,15372,1145,2025-04-30,827,Cancelled
28,9011,375,2025-08-01,1980,Delivered
29,4443,1007,2026-01-07,647,Delivered
30,12230,1176,2025-08-30,1952,Delivered
31,24360,457,2025-06-03,368,Delivered
32,46754,1400,2025-07-11,1188,Delivered
33,26246,1778,2025-11-22,1392,Delivered
34,24126,34,2025-07-07,1706,Delivered
35,33063,1943,2025-03-30,1462,Cancelled
36,19436,1203,2025-12-04,453,Delivered
37,19914,1481,2025-12-09,339,Delivered
38,42596,219,2025-05-12,708,Cancelled
39,3280,897,2025-12-06,797,Cancelled
40,22711,201,2026-02-15,914,Delivered
41,35012,67,2025-07-03,1617,Delivered
42,19663,1103,2025-03-31,562,Delivered
43,11665,1598,2025-05-23,1931,Delivered
44,21411,1173,2025-08-16,302,Cancelled
45,41646,1158,2025-09-17,364,Delivered
46,17365,663,2025-07-14,678,Delivered
47,3978,1545,2025-03-11,478,Cancelled
48,44809,1186,2025-11-14,1497,Cancelled
49,17214,1919,2025-08-20,810,Delivered
50,6035,1645,2025-03-04,1976,Delivered
51,45957,791,2025-11-01,1940,Delivered
52,5163,1871,2026-02-18,694,Delivered
53,30809,1931,2025-03-01,1797,Delivered
54,2339,1556,2026-01-05,1254,Delivered
55,13548,1397,2026-01-19,316,Delivered
56,27205,1359,2025-03-04,223,Delivered
57,4766,603,2025-12-31,1865,Delivered
58,629,1888,2025-07-19,1335,Delivered
59,36744,632,2025-08-09,475,Delivered
60,3386,609,2025-10-21,1615,Delivered
61,29481,989,2025-05-31,1528,Cancelled
62,9942,1794,2025-07-14,1129,Delivered
63,24412,1072,2026-02-24,1609,Delivered
64,49457,853,2025-11-19,701,Delivered
65,35475,1966,2026-01-17,783,Delivered
66,33665,1307,2025-10-10,949,Delivered
67,13845,914,2025-11-09,666,Delivered
68,19677,473,2025-07-09,1330,Delivered
69,29820,1593,2026-02-11,1694,Delivered
70,43860,1906,2025-06-10,325,Delivered
71,2554,299,2025-11-16,530,Delivered
72,23901,1335,2025-06-12,651,Delivered
73,13418,1123,2025-09-06,809,Delivered
74,41419,1849,2025-03-13,1758,Delivered
75,23835,958,2025-04-28,1868,Delivered
76,10776,407,2025-11-17,901,Delivered
77,6949,1930,2025-03-15,614,Delivered
78,12723,1055,2025-09-08,784,Delivered
79,16280,1977,2025-05-20,1901,Delivered
80,40354,261,2025-11-29,1742,Delivered
81,19818,1268,2026-02-07,1105,Delivered
82,7129,1459,2025-11-06,1505,Delivered
83,22605,1541,2025-05-31,1254,Delivered
84,32833,1169,2025-08-28,1871,Delivered
