payment_id,order_id,payment_method,payment_status
1,1,UPI,Success
2,2,Cash,Success
3,3,UPI,Success
4,4,Cash,Success
5,5,Card,Success
6,6,Cash,Success
7,7,Cash,Success
8,8,UPI,Success
9,9,Cash,Success
10,10,UPI,Success
11,11,Card,Success
12,12,Cash,Success
13,13,Cash,Success
14,14,Card,Failed
15,15,Card,Failed
16,16,Card,Success
17,17,Cash,Success
18,18,UPI,Success
19,19,Cash,Success
20,20,Card,Success
21,21,UPI,Success
22,22,Card,Success
23,23,UPI,Success
24,24,UPI,Success
25,25,Card,Failed
26,26,Cash,Success
27,27,Card,Success
28,28,UPI,Success
29,29,Card,Success
30,30,Cash,Success
31,31,Cash,Success
32,32,UPI,Success
33,33,Cash,Success
34,34,Card,Success
35,35,Cash,Success
36,36,UPI,Success
37,37,Card,Success
38,38,Card,Failed
39,39,Cash,Success
40,40,Cash,Success
41,41,Card,Failed
42,42,UPI,Success
43,43,Card,Success
44,44,Cash,Success
45,45,Card,Failed
46,46,Card,Failed
47,47,Card,Success
48,48,Cash,Success
49,49,UPI,Success
50,50,UPI,Success
51,51,UPI,Success
52,52,Cash,Success
53,53,Card,Failed
54,54,UPI,Success
55,55,UPI,Success
56,56,Card,Success
57,57,Card,Success
58,58,Cash,Success
59,59,Cash,Success
60,60,Cash,Failed
61,61,Cash,Success
62,62,UPI,Success
63,63,UPI,Failed
64,64,Card,Success
65,65,Cash,Success
66,66,UPI,Success
67,67,Card,Failed
68,68,Cash,Success
69,69,UPI,Success
70,70,Cash,Success
71,71,Card,Success
72,72,Card,Success
73,73,Cash,Success
74,74,UPI,Success
75,75,Card,Success
76,76,UPI,Success
77,77,Cash,Success
78,78,UPI,Success
79,79,UPI,Success
80,80,Cash,Failed
81,81,UPI,Failed
82,82,Cash,Success
83,83,Cash,Success
84,84,Cash,Success
85,85,UPI,Success
86,86,UPI,Success
87,87,UPI,Success
88,88,UPI,Success
89,89,UPI,Success
90,90,UPI,Success
91,91,Cash,Success
92,92,UPI,Failed
93,93,Cash,Success
94,94,UPI,Failed
95,95,Cash,Success
96,96,UPI,Success
97,97,UPI,Failed
98,98,Card,Success
99,99,Card,Success
100,100,Card,Success
101,101,Cash,Success
102,102,Cash,Success
103,103,Cash,Failed
104,104,Card,Success
105,105,UPI,Success
106,106,UPI,Success
107,107,UPI,Success
108,108,Cash,Success
109,109,Cash,Success
110,110,Cash,Success
111,111,UPI,Success
112,112,UPI,Success
113,113,Card,Success
114,114,Cash,Success
115,115,Card,Success
116,116,Card,Success
117,117,Card,Success
118,118,Cash,Failed
119,119,UPI,Success
120,120,Cash,Success
121,121,Card,Success
122,122,Card,Success
123,123,Cash,Success
124,124,Card,Success
125,125,Cash,Success
126,126,UPI,Success
127,127,Cash,Success
128,128,Cash,Success
129,129,Cash,Success
130,130,Card,Success
131,131,Cash,Success
132,132,Cash,Failed
133,133,UPI,Success
134,134,Cash,Success
135,135,Card,Success
136,136,Card,Success
137,137,Cash,Failed
138,138,Cash,Success
139,139,UPI,Success
140,140,Card,Success
141,141,UPI,Success
142,142,Card,Success
143,143,UPI,Success
144,144,UPI,Success
145,145,Card,Success
146,146,UPI,Success
147,147,UPI,Success
148,148,Cash,Success
149,149,Card,Success
150,150,UPI,Success
151,151,UPI,Failed
152,152,Card,Success
153,153,UPI,Success
154,154,Card,Success
155,155,Card,Success
156,156,Card,Success
157,157,Card,Success
158,158,Card,Success
159,159,Card,Failed
160,160,UPI,Success
161,161,UPI,Success
162,162,Card,Success
163,163,Card,Success
164,164,Card,Success
165,165,Card,Success
166,166,Cash,Success
167,167,UPI,Success
168,168,Card,Success
169,169,UPI,Success
170,170,UPI,Success
171,171,Card,Success
172,172,UPI,Success
173,173,Cash,Failed
174,174,Cash,Success
175,175,Cash,Success
176,176,UPI,Success
177,177,Cash,Success
178,178,Cash,Failed
179,179,Cash,Success
180,180,UPI,Success
181,181,Cash,Success
182,182,Card,Success
183,183,Card,Success
184,184,UPI,Success
185,185,Card,Success
186,186,UPI,Success
187,187,UPI,Success
188,188,UPI,Success
189,189,UPI,Success
190,190,Card,Success
191,191,Cash,Success
192,192,Cash,Success
193,193,Card,Success
194,194,Card,Success
195,195,Cash,Success
196,196,UPI,Success
197,197,Cash,Success
198,198,Cash,Success
199,199,Card,Success
200,200,Card,Success
201,201,Cash,Success
202,202,Cash,Failed
203,203,Cash,Success
204,204,Cash,Success
205,205,Cash,Success
206,206,UPI,Success
207,207,UPI,Success
208,208,Cash,Success
209,209,Cash,Success
210,210,Card,Success
211,211,UPI,Success
212,212,Cash,Success
213,213,Card,Success
214,214,Card,Failed
215,215,UPI,Success
216,216,Cash,Success
217,217,UPI,Success
218,218,Card,Success
219,219,UPI,Success
220,220,Cash,Success
221,221,Cash,Failed
222,222,UPI,Success
223,223,Cash,Success
224,224,Cash,Success
225,225,Cash,Success
226,226,Cash,Success
227,227,UPI,Success
228,228,Card,Success
229,229,UPI,Success
230,230,Cash,Success
231,231,Cash,Success
232,232,Card,Success
233,233,Card,Success
234,234,UPI,Success
235,235,Cash,Success
236,236,UPI,Success
237,237,Cash,Success
238,238,Cash,Success
239,239,Card,Success
240,240,UPI,Success
241,241,UPI,Success
242,242,Card,Success
243,243,Cash,Success
244,244,UPI,Success
245,245,UPI,Success
246,246,Cash,Success
247,247,Cash,Success
248,248,Cash,Failed
249,249,UPI,Success
250,250,Card,Success
251,251,Cash,Failed
252,252,UPI,Success
253,253,Card,Success
254,254,Card,Success
255,255,UPI,Success
256,256,Cash,Success
257,257,Card,Success
258,258,UPI,Success
259,259,Cash,Success
260,260,Card,Success
261,261,Cash,Success
262,262,Cash,Failed
263,263,Cash,Failed
264,264,Cash,Success
265,265,UPI,Success
266,266,Card,Success
267,267,Cash,Success
268,268,UPI,Success
269,269,Cash,Success
270,270,Cash,Failed
271,271,Cash,Success
272,272,UPI,Success
273,273,UPI,Failed
274,274,Card,Success
275,275,Cash,Success
276,276,Cash,Success
277,277,Card,Success
278,278,Cash,Success
279,279,UPI,Failed
280,280,UPI,Success
281,281,Cash,Success
282,282,Card,Failed
283,283,UPI,Success
284,284,UPI,Failed
285,285,Cash,Success
286,286,Card,Failed
287,287,UPI,Success
288,288,Card,Success
289,289,UPI,Success
290,290,UPI,Failed
291,291,Card,Success
292,292,Cash,Failed
293,293,Card,Failed
294,294,UPI,Success
295,295,Card,Failed
296,296,Card,Success
297,297,UPI,Success
298,298,Card,Failed
299,299,UPI,Success
300,300,Cash,Success
301,301,Card,Success
302,302,UPI,Failed
303,303,Card,Success
304,304,UPI,Success
305,305,Card,Success
306,306,Cash,Success
307,307,UPI,Success
308,308,Card,Success
309,309,Card,Success
310,310,UPI,Success
311,311,Cash,Success
312,312,UPI,Success
313,313,UPI,Success
314,314,Cash,Success
315,315,Cash,Success
316,316,Card,Success
317,317,Cash,Success
318,318,Cash,Success
319,319,Card,Success
320,320,Cash,Success
321,321,Cash,Success
322,322,Card,Success
323,323,UPI,Success
324,324,Card,Success
325,325,Cash,Success
326,326,Card,Success
327,327,UPI,Success
328,328,Cash,Success
329,329,Card,Success
330,330,UPI,Success
331,331,UPI,Success
332,332,Cash,Success
333,333,Card,Success
334,334,Card,Success
335,335,Cash,Success
336,336,UPI,Success
337,337,Card,Success
338,338,Card,Success
